iter	Passed	Remaining
401	9860	14668
402	9882	14640
403	9902	14609
404	9921	14576
405	9934	14534
406	9976	14536
407	9994	14501
408	10013	14469
409	10034	14439
410	10052	14406
411	10074	14378
412	10091	14342
413	10108	14308
414	10124	14271
415	10137	14231
416	10154	14197
417	10176	14169
418	10224	14177
419	10248	14152
420	10281	14140
421	10297	14104
422	10311	14065
423	10324	14026
424	10341	13991
425	10361	13961
426	10377	13926
427	10418	13924
428	10446	13904
429	10473	13883
430	10492	13851
431	10507	13816
432	10521	13777
433	10537	13742
434	10552	13705
435	10568	13671
436	10583	13635
437	10615	13620
438	10627	13580
439	10639	13541
440	10697	13559
441	10749	13571
442	10772	13544
443	10787	13508
444	10801	13471
445	10817	13436
446	10906	13493
447	10983	13533
448	10999	13497
449	11015	13463
450	11048	13448
451	11062	13412
452	11076	13374
453	11089	13336
454	11108	13305
455	11121	13267
456	11138	13235
457	11152	13197
458	11181	13179
459	11198	13146
460	11213	13110
461	11227	13074
462	11254	13053
463	11274	13024
464	11287	12987
465	11312	12962
466	11346	12949
467	11365	12919
468	11382	12886
469	11395	12849
470	11409	12814
471	11423	12779
472	11437	12743
473	11450	12706
474	11472	12680
475	11486	12644
476	11537	12650
477	11570	12635
478	11585	12601
479	11602	12569
480	11616	12534
481	11630	12499
482	11647	12467
483	11659	12430
484	11673	12395
485	11687	12361
486	11733	12359
487	11747	12324
488	11760	12289
489	11774	12255
490	11809	12242
491	11827	12211
492	11841	12177
493	11869	12157
494	11883	12123
495	11913	12105
496	11927	12071
497	11963	12059
498	11986	12034
499	12003	12003
500	12016	11968
501	12042	11946
502	12067	11923
503	12085	11893
504	12100	11861
505	12114	11827
506	12146	11811
507	12170	11787
508	12185	11754
509	12224	11745
510	12237	11710
511	12258	11683
512	12304	11681
513	12320	11649
514	12335	11616
515	12348	11582
516	12365	11552
517	12381	11520
518	12395	11487
519	12422	11466
520	12442	11439
521	12456	11406
522	12468	11371
523	12481	11337
524	12496	11306
525	12516	11278
526	12529	11245
527	12543	11213
528	12571	11192
529	12599	11172
530	12613	11140
531	12626	11107
532	12637	11073
533	12652	11041
534	12663	11006
535	12677	10974
536	12716	10964
537	12730	10932
538	12743	10899
539	12756	10866
540	12789	10851
541	12802	10818
542	12831	10799
543	12849	10770
544	12863	10739
545	12877	10707
546	12887	10672
547	12910	10649
548	12923	10616
549	12936	10584
550	12965	10565
551	12986	10539
552	12999	10507
553	13012	10476
554	13027	10445
555	13044	10416
556	13071	10396
557	13092	10370
558	13106	10339
559	13151	10333
560	13217	10342
561	13232	10313
562	13247	10282
563	13261	10251
564	13277	10222
565	13295	10194
566	13368	10209
567	13397	10189
568	13417	10163
569	13446	10143
570	13468	10118
571	13482	10088
572	13533	10085
573	13595	10090
574	13614	10063
575	13629	10033
576	13641	10000
577	13658	9972
578	13671	9940
579	13712	9929
580	13732	9903
581	13750	9876
582	13783	9858
583	13800	9830
584	13813	9799
585	13842	9779
586	13860	9752
587	13891	9733
588	13907	9704
589	13935	9683
590	13947	9652
591	13960	9621
592	13978	9594
593	13996	9566
594	14011	9537
595	14027	9508
596	14042	9479
597	14057	9450
598	14071	9420
599	14114	9409
600	14131	9381
601	14186	9379
602	14199	9348
603	14223	9325
604	14238	9296
605	14254	9267
606	14270	9239
607	14282	9208
608	14293	9176
609	14305	9145
610	14339	9129
611	14355	9100
612	14388	9083
613	14405	9056
614	14418	9026
615	14461	9015
616	14480	8988
617	14510	8969
618	14528	8942
619	14543	8913
620	14574	8894
621	14592	8868
622	14606	8838
623	14619	8808
624	14660	8796
625	14682	8772
626	14695	8742
627	14707	8712
628	14738	8692
629	14758	8667
630	14779	8642
631	14794	8614
632	14807	8585
633	14821	8556
634	14835	8527
635	14850	8499
636	14871	8474
637	14891	8449
638	14907	8422
639	14967	8419
640	14993	8397
641	15007	8368
642	15020	8339
643	15034	8310
644	15098	8310
645	15118	8284
646	15132	8256
647	15161	8235
648	15180	8210
649	15196	8182
650	15214	8156
651	15227	8127
652	15241	8099
653	15254	8070
654	15280	8048
655	15323	8035
656	15363	8020
657	15382	7995
658	15397	7967
659	15413	7940
660	15427	7912
661	15440	7883
662	15455	7856
663	15471	7828
664	15488	7802
665	15503	7775
666	15516	7746
667	15533	7720
668	15550	7693
669	15564	7666
670	15582	7640
671	15599	7613
672	15613	7586
673	15626	7558
674	15672	7546
675	15685	7517
676	15700	7490
677	15715	7463
678	15731	7436
679	15746	7410
680	15762	7383
681	15819	7376
682	15835	7349
683	15851	7323
684	15906	7314
685	15923	7288
686	15937	7261
687	15955	7235
688	15971	7209
689	15987	7182
690	16006	7157
691	16022	7131
692	16038	7105
693	16052	7078
694	16067	7051
695	16079	7023
696	16092	6995
697	16105	6968
698	16157	6957
699	16171	6930
700	16185	6903
701	16215	6883
702	16272	6874
703	16317	6860
704	16334	6835
705	16359	6812
706	16374	6786
707	16389	6759
708	16431	6744
709	16464	6725
710	16478	6697
711	16493	6671
712	16534	6655
713	16601	6649
714	16618	6623
715	16630	6596
716	16660	6576
717	16677	6550
718	16692	6523
719	16723	6503
720	16740	6477
721	16753	6450
722	16779	6428
723	16794	6402
724	16843	6388
725	16860	6363
726	16874	6336
727	16892	6311
728	16905	6284
729	16950	6269
730	16965	6243
731	16978	6216
732	16993	6189
733	17004	6162
734	17067	6153
735	17087	6129
736	17103	6103
737	17118	6077
738	17131	6050
739	17163	6030
740	17183	6006
741	17196	5979
742	17210	5953
743	17266	5941
744	17286	5916
745	17300	5890
746	17319	5866
747	17334	5839
748	17350	5814
749	17377	5792
750	17403	5770
751	17418	5744
752	17477	5733
753	17503	5710
754	17518	5684
755	17528	5657
756	17545	5632
757	17560	5606
758	17574	5580
759	17593	5555
760	17605	5529
761	17620	5503
762	17636	5478
763	17655	5453
764	17733	5447
765	17757	5424
766	17776	5400
767	17842	5390
768	17913	5380
769	17931	5356
770	17946	5330
771	17963	5305
772	17979	5279
773	17994	5254
774	18008	5228
775	18062	5213
776	18078	5188
777	18099	5164
778	18113	5138
779	18140	5116
780	18160	5092
781	18175	5066
782	18189	5040
783	18204	5015
784	18220	4990
785	18233	4964
786	18248	4938
787	18260	4912
788	18272	4886
789	18287	4861
790	18319	4840
791	18335	4815
792	18376	4796
793	18401	4774
794	18415	4748
795	18433	4724
796	18445	4698
797	18457	4672
798	18487	4650
799	18504	4626
800	18519	4601
801	18553	4580
802	18571	4556
803	18585	4530
804	18629	4512
805	18645	4487
806	18660	4462
807	18676	4437
808	18691	4412
809	18732	4393
810	18753	4370
811	18771	4346
812	18796	4323
813	18812	4298
814	18864	4282
815	18881	4257
816	18896	4232
817	18911	4207
818	18932	4184
819	18950	4159
820	18963	4134
821	19000	4114
822	19012	4088
823	19026	4063
824	19039	4038
825	19068	4016
826	19084	3992
827	19102	3968
828	19116	3943
829	19131	3918
830	19173	3899
831	19186	3874
832	19204	3850
833	19220	3825
834	19233	3800
835	19260	3778
836	19282	3755
837	19296	3730
838	19312	3705
839	19328	3681
840	19349	3658
841	19365	3633
842	19378	3609
843	19396	3585
844	19410	3560
845	19424	3535
846	19436	3510
847	19448	3486
848	19460	3461
849	19516	3444
850	19531	3419
851	19563	3398
852	19576	3373
853	19589	3349
854	19625	3328
855	19642	3304
856	19658	3280
857	19671	3255
858	19688	3231
859	19702	3207
860	19717	3183
861	19748	3161
862	19764	3137
863	19775	3112
864	19790	3088
865	19804	3064
866	19822	3040
867	19836	3016
868	19864	2994
869	19881	2970
870	19902	2947
871	19918	2923
872	19930	2899
873	19946	2875
874	19961	2851
875	19976	2827
876	20010	2806
877	20024	2782
878	20040	2758
879	20053	2734
880	20066	2710
881	20079	2686
882	20091	2662
883	20152	2644
884	20170	2621
885	20201	2599
886	20258	2580
887	20276	2557
888	20288	2533
889	20320	2511
890	20347	2489
891	20359	2465
892	20449	2450
893	20482	2428
894	20504	2405
895	20524	2382
896	20540	2358
897	20556	2334
898	20574	2311
899	20621	2291
900	20638	2267
901	20652	2243
902	20692	2222
903	20710	2199
904	20724	2175
905	20739	2151
906	20759	2128
907	20786	2106
908	20836	2085
909	20885	2065
910	20907	2042
911	20920	2018
912	20933	1994
913	20970	1973
914	20984	1949
915	20999	1925
916	21012	1901
917	21068	1881
918	21115	1861
919	21135	1837
920	21155	1814
921	21170	1790
922	21196	1768
923	21213	1744
924	21225	1720
925	21259	1698
926	21274	1675
927	21290	1651
928	21314	1629
929	21348	1606
930	21373	1584
931	21386	1560
932	21398	1536
933	21413	1513
934	21451	1491
935	21465	1467
936	21480	1444
937	21493	1420
938	21554	1400
939	21568	1376
940	21630	1356
941	21644	1332
942	21669	1309
943	21682	1286
944	21700	1262
945	21714	1239
946	21726	1215
947	21742	1192
948	21758	1169
949	21787	1146
950	21802	1123
951	21833	1100
952	21848	1077
953	21870	1054
954	21884	1031
955	21900	1007
956	21928	985
957	21945	962
958	21980	939
959	22004	916
960	22033	894
961	22052	871
962	22105	849
963	22128	826
964	22146	803
965	22160	779
966	22193	757
967	22207	734
968	22218	710
969	22234	687
970	22248	664
971	22298	642
972	22315	619
973	22362	596
974	22376	573
975	22389	550
976	22404	527
977	22415	504
978	22427	481
979	22469	458
980	22484	435
981	22497	412
982	22558	390
983	22574	367
984	22603	344
985	22619	321
986	22634	298
987	22689	275
988	22716	252
989	22753	229
990	22767	206
991	22798	183
992	22813	160
993	22826	137
994	22838	114
995	22852	91
996	22865	68
997	22879	45
998	22893	22
999	22909	0
