iter	Logloss
0	0.6493179829
1	0.6166653948
2	0.5943713356
3	0.57182051
4	0.5491903948
5	0.5314236727
6	0.5089917485
7	0.4913363489
8	0.4808057677
9	0.4705315827
10	0.4571225684
11	0.4524171458
12	0.4335966419
13	0.4251773479
14	0.4194543719
15	0.4058218529
16	0.3961667086
17	0.3929205646
18	0.377141508
19	0.3743588778
20	0.3653387889
21	0.3561798266
22	0.3512383144
23	0.3475332272
24	0.3433657777
25	0.337491602
26	0.3339636942
27	0.3242996095
28	0.320667785
29	0.3190418076
30	0.3176281668
31	0.3152305922
32	0.3134275189
33	0.3091206653
34	0.3075821332
35	0.3061293625
36	0.3031183982
37	0.3001948744
38	0.2978557833
39	0.29231643
40	0.2912668961
41	0.2848964458
42	0.2805753406
43	0.2777793729
44	0.2767117736
45	0.2736610744
46	0.2700560305
47	0.2691737137
48	0.2658918321
49	0.265061207
50	0.2636891135
51	0.2620369316
52	0.2611046442
53	0.2586787726
54	0.2541181307
55	0.2509741373
56	0.2502997825
57	0.2481286409
58	0.2466327205
59	0.2451613765
60	0.2443689318
61	0.243683781
62	0.2427056816
63	0.2421618316
64	0.2415869349
65	0.24059782
66	0.2391206857
67	0.2385437387
68	0.237444573
69	0.236230181
70	0.235681608
71	0.2350461423
72	0.2344137187
73	0.2336416367
74	0.2330147282
75	0.2322891302
76	0.2316524524
77	0.2301380518
78	0.2295948139
79	0.2291531901
80	0.2285641465
81	0.2280506414
82	0.227054389
83	0.2264396211
84	0.2244864628
85	0.2239351173
86	0.2233560089
87	0.2227617193
88	0.2222147597
89	0.2217789707
90	0.2212869211
91	0.2207118312
92	0.2201553489
93	0.2197542138
94	0.2192769683
95	0.2188709371
96	0.2182649935
97	0.2177564556
98	0.2172696737
99	0.2168658898
100	0.2163756122
101	0.2159213506
102	0.2149959454
103	0.2144510474
104	0.2140687085
105	0.2131684302
106	0.2126072705
107	0.2112816877
108	0.2107104009
109	0.2102575334
110	0.209848997
111	0.2094143175
112	0.2084259896
113	0.2079581513
114	0.2065866747
115	0.2054463587
116	0.2050554159
117	0.2046550567
118	0.2022644685
119	0.2017887813
120	0.2013780105
121	0.2009813474
122	0.2005007189
123	0.2001052703
124	0.1997731952
125	0.1993692219
126	0.1990086979
127	0.198650582
128	0.1979972192
129	0.1973519258
130	0.197025591
131	0.1964018953
132	0.1959541262
133	0.1954647749
134	0.1951219527
135	0.194753693
136	0.1940262881
137	0.1936777355
138	0.1932192573
139	0.1929586366
140	0.192713594
141	0.1920326726
142	0.1917093819
143	0.191358927
144	0.1910530987
145	0.1907321342
146	0.1904411411
147	0.1901236626
148	0.1897839912
149	0.1894560454
150	0.189095798
151	0.1887990169
152	0.1884598381
153	0.1881726073
154	0.187701517
155	0.1868580605
156	0.1856590079
157	0.1851592069
158	0.1849413358
159	0.1846606927
160	0.1843889906
161	0.1838617744
162	0.1835370613
163	0.1832224583
164	0.1829335858
165	0.1823404391
166	0.1820527723
167	0.1817665062
168	0.1814807527
169	0.1809857508
170	0.180694885
171	0.1804231887
172	0.1801673727
173	0.179871954
174	0.1795613448
175	0.179316533
176	0.1789498191
177	0.1786862851
178	0.1783949989
179	0.1781726915
180	0.177791096
181	0.1775024264
182	0.1772701918
183	0.1770115156
184	0.1767508618
185	0.1764656834
186	0.176198086
187	0.1759575711
188	0.1757380645
